AB NOVESTRA (PUBL)
HIQ INTERNATIONAL AB (PUBL)
HMS NETWORKS AB (PUBL)
HOLMEN AKTIEBOLAG (PUBL)
HUFVUDSTADEN AB (PUBL)
HUSQVARNA AB (PUBL)
I.A.R. SYSTEMS GROUP AB (PUBL)
ICA GRUPPEN AB
IMAGE SYSTEMS AB (PUBL)
INDUSTRIAL AND FINANCIAL SYSTEMS, IFS AB"
INDUTRADE AB (PUBL)
INTELLECTA AB (PUBL)
INTRUM JUSTITIA AB (PUBL)
INVESTMENT AB KINNEVIK (PUBL)
INVESTMENT AB ÖRESUND (PUBL)
INVESTMENTAKTIEBOLAGET LATOUR (PUBL)
INVESTOR AKTIEBOLAG (PUBL)
Inwido AB
ITAB SHOP CONCEPT AB (PUBL)
JM AB (PUBL)
KABE AB (PUBL)
KAPPAHL AB (PUBL)
KARO BIO AKTIEBOLAG (PUBL)
KAROLINSKA DEVELOPMENT AB
KLÖVERN AB (PUBL)
KNOW IT AB (PUBL)
KUNGSLEDEN AKTIEBOLAG (PUBL)
L E LUNDBERGFÖRETAGEN AKTIEBOLAG (PUBL)
LAGERCRANTZ GROUP AB (PUBL)
LAMMHULTS DESIGN GROUP AB (PUBL)
LIFEASSAYS AB (PUBL)
LINDAB INTERNATIONAL AB (PUBL)
LOOMIS AB (PUBL)
LUCARA DIAMOND CORP.
LUNDIN MINING CORPORATION
LUNDIN PETROLEUM AB (PUBL)
MALMBERGS ELEKTRISKA AKTIEBOLAG (PUBL)
MEDA AKTIEBOLAG (PUBL)
MEDIVIR AKTIEBOLAG (PUBL)
MEKONOMEN AKTIEBOLAG (PUBL)
MELKER SCHÖRLING AB (PUBL)
MICRO SYSTEMATION AB (PUBL)
MIDSONA AB (PUBL)
MIDWAY HOLDING AKTIEBOLAG (PUBL)
MOBERG PHARMA AB (PUBL)
MODERN TIMES GROUP MTG AB (PUBL)
MQ HOLDING AB (PUBL)
MSC KONSULT AB (PUBL)
MULTIQ INTERNATIONAL AB (PUBL)
MYCRONIC AB (PUBL)
NAXS NORDIC ACCESS BUYOUT FUND AB (PUBL)
NCC AKTIEBOLAG (PUBL)
NEDERMAN HOLDING AB (PUBL)
NET ENTERTAINMENT NE AB (PUBL)
NET INSIGHT AB (PUBL)
NEUROVIVE PHARMACEUTICAL AB
NEW WAVE GROUP AB (PUBL)
NGEX RESOURCES INC.
NGS GROUP AB (PUBL)
NIBE INDUSTRIER AB (PUBL)
NICKEL MOUNTAIN GROUP AB (PUBL)
NOBIA AB (PUBL)
NOLATO AKTIEBOLAG (PUBL)
NORDEA BANK AB (PUBL)
NORDIC MINES AB (PUBL)
NORDIC SERVICE PARTNERS HOLDING AB
NORDNET AB (PUBL)
NOTE AB (PUBL)
NOVOTEK AKTIEBOLAG (PUBL)
OASMIA PHARMACEUTICAL AB (PUBL)
OBDUCAT AKTIEBOLAG (PUBL)
ODD MOLLY INTERNATIONAL AB (PUBL)
OEM INTERNATIONAL AB (PUBL)
OPCON AKTIEBOLAG (PUBL)
OPUS GROUP AB
OREXO AB (PUBL)
ORTIVUS AKTIEBOLAG (PUBL)
PA RESOURCES AKTIEBOLAG (PUBL)
PARTNERTECH AB (PUBL)
PAYNOVA AB (PUBL)
PEAB AB (PUBL)
PLATZER FASTIGHETER HOLDING AB
POOLIA AB (PUBL)
PRECISE BIOMETRICS AB (PUBL)
PREVAS AKTIEBOLAG (PUBL)
PRICER AKTIEBOLAG (PUBL)
PROACT IT GROUP AB (PUBL)
PROBI AKTIEBOLAG (PUBL)
PROFFICE AKTIEBOLAG (PUBL)
PROFILGRUPPEN AB (PUBL)
RATOS AB (PUBL)
RAYSEARCH LABORATORIES AB (PUBL)
READSOFT AB (PUBL)
RECIPHARM AB (PUBL)
REDERI AB TRANSATLANTIC (PUBL)
REINHOLD POLSKA AB (PUBL)
REJLERS AB (PUBL)
REZIDOR HOTEL GROUP AB (PUBL)
RNB RETAIL AND BRANDS AB (PUBL)
ROTTNEROS AB (PUBL)
RÖRVIK TIMBER AB (PUBL)
SAAB AKTIEBOLAG (PUBL)
SANDVIK AB (PUBL)
SAS AB (PUBL)
SBC SVERIGES BOSTADSRÄTTSCENTRUM AB
SCANDI STANDARD AB
SEAMLESS DISTRIBUTION AB (publ)
SECTRA AKTIEBOLAG (PUBL)
SECURITAS AB (PUBL)
SEMAFO INC.
SEMCON AKTIEBOLAG (PUBL)
SENSYS TRAFFIC AKTIEBOLAG (PUBL)
SHELTON PETROLEUM AB (PUBL)
SINTERCAST AKTIEBOLAG (PUBL)
SKANDINAVISKA ENSKILDA BANKEN AB (PUBL)
SKANSKA AB (PUBL)
SKISTAR AKTIEBOLAG (PUBL)
SOFTRONIC AKTIEBOLAG (PUBL)
SOTKAMO SILVER AB (PUBL)
SSAB AB (PUBL)
Stockwik Förvaltning AB (PUBL)
STUDSVIK AB (PUBL)
SWECO AB (PUBL)
SWEDBANK AB (PUBL)
SVEDBERGS I DALSTORP AB (PUBL)
SWEDISH MATCH AB (PUBL)
SWEDISH ORPHAN BIOVITRUM AB (PUBL)
SWEDOL AB (PUBL)
SVENSKA CELLULOSA AKTIEBOLAGET SCA
SVENSKA HANDELSBANKEN AB (PUBL)
SVOLDER AKTIEBOLAG (PUBL)
SYSTEMAIR AB (PUBL)
TELE2 AB (PUBL)
TELEFON AB L M ERICSSON (PUBL)
TELIASONERA AB (PUBL)
TETHYS OIL AB
TRADEDOUBLER AB (PUBL)
TRANSMODE AB
TRELLEBORG AKTIEBOLAG (PUBL)
TRIBONA AB
Trig Social Media AB (publ.)
UNIFLEX AB (PUBL)
WALLENSTAM AB (PUBL)
VBG GROUP AB (PUBL)
VENUE RETAIL GROUP AB (PUBL)
VICTORIA PARK AB
WIHLBORGS FASTIGHETER AB (PUBL)
VITEC SOFTWARE GROUP AB(PUBL)
VITROLIFE AB (PUBL)
VOSTOK NAFTA INVESTMENT LTD
XANO INDUSTRI AB (PUBL)
ÅF AB (PUBL)
